"County","Candidate","Party","Votes","Race"
"Taylor","Demetra WYSINGER","WriteIn","0","US Senate"
"Todd","Mitch McCONNELL","Republican Party","3567","US Senate"
"Todd","Amy McGRATH","Democratic Party","1464","US Senate"
"Todd","Brad BARRON","Libertarian Party","308","US Senate"
"Todd","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Todd","Daniel COBBLE","WriteIn","0","US Senate"
"Todd","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Todd","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Todd","Demetra WYSINGER","WriteIn","0","US Senate"
"Trigg","Mitch McCONNELL","Republican Party","5000","US Senate"
"Trigg","Amy McGRATH","Democratic Party","2034","US Senate"
"Trigg","Brad BARRON","Libertarian Party","334","US Senate"
"Trigg","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Trigg","Daniel COBBLE","WriteIn","0","US Senate"
"Trigg","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Trigg","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Trigg","Demetra WYSINGER","WriteIn","0","US Senate"
"Trimble","Mitch McCONNELL","Republican Party","2889","US Senate"
"Trimble","Amy McGRATH","Democratic Party","1183","US Senate"
"Trimble","Brad BARRON","Libertarian Party","230","US Senate"
"Trimble","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Trimble","Daniel COBBLE","WriteIn","0","US Senate"
"Trimble","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Trimble","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Trimble","Demetra WYSINGER","WriteIn","0","US Senate"
"Union","Mitch McCONNELL","Republican Party","4351","US Senate"
"Union","Amy McGRATH","Democratic Party","1803","US Senate"
"Union","Brad BARRON","Libertarian Party","399","US Senate"
"Union","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Union","Daniel COBBLE","WriteIn","0","US Senate"
"Union","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Union","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Union","Demetra WYSINGER","WriteIn","0","US Senate"
"Warren","Mitch McCONNELL","Republican Party","29719","US Senate"
"Warren","Amy McGRATH","Democratic Party","23347","US Senate"
"Warren","Brad BARRON","Libertarian Party","2367","US Senate"
"Warren","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Warren","Daniel COBBLE","WriteIn","0","US Senate"
"Warren","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Warren","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Warren","Demetra WYSINGER","WriteIn","0","US Senate"
"Washington","Mitch McCONNELL","Republican Party","4107","US Senate"
"Washington","Amy McGRATH","Democratic Party","1769","US Senate"
"Washington","Brad BARRON","Libertarian Party","317","US Senate"
"Washington","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Washington","Daniel COBBLE","WriteIn","0","US Senate"
"Washington","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Washington","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Washington","Demetra WYSINGER","WriteIn","0","US Senate"
"Wayne","Mitch McCONNELL","Republican Party","6689","US Senate"
"Wayne","Amy McGRATH","Democratic Party","1978","US Senate"
"Wayne","Brad BARRON","Libertarian Party","483","US Senate"
"Wayne","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Wayne","Daniel COBBLE","WriteIn","0","US Senate"
"Wayne","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Wayne","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Wayne","Demetra WYSINGER","WriteIn","0","US Senate"
"Webster","Mitch McCONNELL","Republican Party","4029","US Senate"
"Webster","Amy McGRATH","Democratic Party","1600","US Senate"
"Webster","Brad BARRON","Libertarian Party","347","US Senate"
"Webster","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Webster","Daniel COBBLE","WriteIn","0","US Senate"
"Webster","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Webster","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Webster","Demetra WYSINGER","WriteIn","0","US Senate"
"Whitley","Mitch McCONNELL","Republican Party","11634","US Senate"
"Whitley","Amy McGRATH","Democratic Party","2887","US Senate"
"Whitley","Brad BARRON","Libertarian Party","777","US Senate"
"Whitley","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Whitley","Daniel COBBLE","WriteIn","0","US Senate"
"Whitley","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Whitley","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Whitley","Demetra WYSINGER","WriteIn","0","US Senate"
"Wolfe","Mitch McCONNELL","Republican Party","1912","US Senate"
"Wolfe","Amy McGRATH","Democratic Party","945","US Senate"
"Wolfe","Brad BARRON","Libertarian Party","124","US Senate"
"Wolfe","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Wolfe","Daniel COBBLE","WriteIn","0","US Senate"
"Wolfe","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Wolfe","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Wolfe","Demetra WYSINGER","WriteIn","0","US Senate"
"Woodford","Mitch McCONNELL","Republican Party","8119","US Senate"
"Woodford","Amy McGRATH","Democratic Party","6612","US Senate"
"Woodford","Brad BARRON","Libertarian Party","518","US Senate"
"Woodford","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Woodford","Daniel COBBLE","WriteIn","0","US Senate"
"Woodford","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Woodford","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Woodford","Demetra WYSINGER","WriteIn","0","US Senate"
"TotalVotes","Mitch McCONNELL","Republican Party","1233315","US Senate"
"TotalVotes","Amy McGRATH","Democratic Party","816257","US Senate"
"TotalVotes","Brad BARRON","Libertarian Party","85386","US Senate"
"TotalVotes","Paul John FRANGEDAKIS","WriteIn","70","US Senate"
"TotalVotes","Daniel COBBLE","WriteIn","18","US Senate"
"TotalVotes","Randall Lee TEEGARDEN","WriteIn","9","US Senate"
"TotalVotes","Harold H FITZPATRICK","WriteIn","1","US Senate"
"TotalVotes","Demetra WYSINGER","WriteIn","1","US Senate"
